datetime,wind_power,wind_speed,solar_power,solar_irradiation,temperature
2015-01-01 11:30:00+00,2.730775,6.375,0,0,11.83125
2015-01-01 11:45:00+00,2.544465,6.425,0,0,11.81875
2015-01-01 12:00:00+00,2.358155,6.475,0,0,11.80625
2015-01-01 12:15:00+00,2.11681,6.44375,0,0,11.7625
2015-01-01 12:30:00+00,1.82043,6.33125,0,0,11.6875
2015-01-01 12:45:00+00,1.52405,6.21875,0,0,11.6125
2015-01-01 13:00:00+00,1.22767,6.10625,0,0,11.5375
2015-01-01 13:15:00+00,1.0165825,5.94375,0,0,11.5
2015-01-01 13:30:00+00,0.8907875,5.73125,0,0,11.5
2015-01-01 13:45:00+00,0.7649925,5.51875,0,0,11.5
2015-01-01 14:00:00+00,0.6391975,5.30625,0,0,11.5
2015-01-01 14:15:00+00,0.5393625,5.1375,0,0,11.5
2015-01-01 14:30:00+00,0.4654875,5.0125,0,0,11.5
2015-01-01 14:45:00+00,0.3916125,4.8875,0,0,11.5
2015-01-01 15:00:00+00,0.3177375,4.7625,0,0,11.5
2015-01-01 15:15:00+00,0.330805,4.6875,0,0,11.475
2015-01-01 15:30:00+00,0.430815,4.6625,0,0,11.425
2015-01-01 15:45:00+00,0.530825,4.6375,0,0,11.375
2015-01-01 16:00:00+00,0.630835,4.6125,0,0,11.325
2015-01-01 16:15:00+00,0.947385,4.70625,0,0,11.24375
2015-01-01 16:30:00+00,1.480475,4.91875,0,0,11.13125
2015-01-01 16:45:00+00,2.013565,5.13125,0,0,11.01875
2015-01-01 17:00:00+00,2.546655,5.34375,0,0,10.90625
2015-01-01 17:15:00+00,3.0582125,5.61875,0,0,10.7875
2015-01-01 17:30:00+00,3.5482375,5.95625,0,0,10.6625
2015-01-01 17:45:00+00,4.0382625,6.29375,0,0,10.5375
2015-01-01 18:00:00+00,4.5282875,6.63125,0,0,10.4125
2015-01-01 18:15:00+00,4.6521175,6.85,0,0,10.3
2015-01-01 18:30:00+00,4.4097525,6.95,0,0,10.2
2015-01-01 18:45:00+00,4.1673875,7.05,0,0,10.1
2015-01-01 19:00:00+00,3.9250225,7.15,0,0,10
2015-01-01 19:15:00+00,3.638625,7.23125,0,0,9.9125
2015-01-01 19:30:00+00,3.308195,7.29375,0,0,9.8375
2015-01-01 19:45:00+00,2.977765,7.35625,0,0,9.7625
2015-01-01 20:00:00+00,2.647335,7.41875,0,0,9.6875
2015-01-01 20:15:00+00,2.4606875,7.4625,0,0,9.61875
2015-01-01 20:30:00+00,2.4178225,7.4875,0,0,9.55625
2015-01-01 20:45:00+00,2.3749575,7.5125,0,0,9.49375
2015-01-01 21:00:00+00,2.3320925,7.5375,0,0,9.43125
2015-01-01 21:15:00+00,2.22371,7.5375,0,0,9.38125
2015-01-01 21:30:00+00,2.04981,7.5125,0,0,9.34375
2015-01-01 21:45:00+00,1.87591,7.4875,0,0,9.30625
2015-01-01 22:00:00+00,1.70201,7.4625,0,0,9.26875
2015-01-01 22:15:00+00,1.5632075,7.36875,0,0,9.2375
2015-01-01 22:30:00+00,1.4595025,7.20625,0,0,9.2125
2015-01-01 22:45:00+00,1.3557975,7.04375,0,0,9.1875
2015-01-01 23:00:00+00,1.2520925,6.88125,0,0,9.1625
2015-01-01 23:15:00+00,1.2838825,6.71875,0.02826416,0.004750004,9.1625
2015-01-01 23:30:00+00,1.4511675,6.55625,0.084792481,0.014250011,9.1875
2015-01-01 23:45:00+00,1.6184525,6.39375,0.141320801,0.023750019,9.2125
2015-01-02 00:00:00+00,1.7857375,6.23125,0.197849122,0.033250026,9.2375
2015-01-02 00:15:00+00,1.9768725,6.1625,0.277412288,0.044875035,9.3
2015-01-02 00:30:00+00,2.1918575,6.1875,0.380010299,0.058625047,9.4
2015-01-02 00:45:00+00,2.4068425,6.2125,0.48260831,0.072375058,9.5
2015-01-02 01:00:00+00,2.6218275,6.2375,0.58520632,0.086125068,9.6
2015-01-02 01:15:00+00,2.78475,6.25,0.680378417,0.099000079,9.7125
2015-01-02 01:30:00+00,2.89561,6.25,0.768124599,0.111000089,9.8375
2015-01-02 01:45:00+00,3.00647,6.25,0.85587078,0.123000098,9.9625
2015-01-02 02:00:00+00,3.11733,6.25,0.943616962,0.135000108,10.0875
2015-01-02 02:15:00+00,3.384135,6.21875,0.990212457,0.147125118,10.20625
2015-01-02 02:30:00+00,3.806885,6.15625,0.995657266,0.159375128,10.31875
2015-01-02 02:45:00+00,4.229635,6.09375,1.001102075,0.171625137,10.43125
2015-01-02 03:00:00+00,4.652385,6.03125,1.006546884,0.183875147,10.54375
2015-01-02 03:15:00+00,5.5740375,6.025,1.028331865,0.191750153,10.6375
2015-01-02 03:30:00+00,6.9945925,6.075,1.066457019,0.195250156,10.7125
2015-01-02 03:45:00+00,8.4151475,6.125,1.104582174,0.198750159,10.7875
2015-01-02 04:00:00+00,9.8357025,6.175,1.142707328,0.202250162,10.8625
2015-01-02 04:15:00+00,10.485955,6.3,1.150690653,0.203875163,10.925
2015-01-02 04:30:00+00,10.365905,6.5,1.128532149,0.203625163,10.975
2015-01-02 04:45:00+00,10.245855,6.7,1.106373645,0.203375162,11.025
2015-01-02 05:00:00+00,10.125805,6.9,1.084215141,0.203125162,11.075
2015-01-02 05:15:00+00,10.06578,6.95625,1.074318231,0.198250158,11.11875
2015-01-02 05:30:00+00,10.06578,6.86875,1.076682916,0.188750151,11.15625
2015-01-02 05:45:00+00,10.06578,6.78125,1.079047601,0.179250143,11.19375
2015-01-02 06:00:00+00,10.06578,6.69375,1.081412286,0.169750136,11.23125
2015-01-02 06:15:00+00,10.1262675,6.6375,1.033499405,0.158500127,11.25
2015-01-02 06:30:00+00,10.2472425,6.6125,0.93530896,0.145500116,11.25
2015-01-02 06:45:00+00,10.3682175,6.5875,0.837118514,0.132500106,11.25
2015-01-02 07:00:00+00,10.4891925,6.5625,0.738928069,0.119500095,11.25
2015-01-02 07:15:00+00,10.28703,6.55625,0.64132664,0.106125084,11.225
2015-01-02 07:30:00+00,9.76173,6.56875,0.544314227,0.092375073,11.175
2015-01-02 07:45:00+00,9.23643,6.58125,0.447301813,0.078625063,11.125
2015-01-02 08:00:00+00,8.71113,6.59375,0.350289401,0.064875052,11.075
2015-01-02 08:15:00+00,8.0361625,6.575,0.26467948,0.05100004,11.00625
2015-01-02 08:30:00+00,7.2115275,6.525,0.190472052,0.03700003,10.91875
2015-01-02 08:45:00+00,6.3868925,6.475,0.116264625,0.023000019,10.83125
